Felony,Misdemeanor,Violation,year_week_borough
446,1651,41,2012_1_Bronx
293,1072,41,2012_26_Bronx
382,1105,37,2012_27_Bronx
453,1236,54,2012_28_Bronx
366,1204,57,2012_29_Bronx
374,1146,46,2012_30_Bronx
419,1303,50,2012_31_Bronx
459,1311,55,2012_32_Bronx
374,1259,38,2012_33_Bronx
438,1341,40,2012_34_Bronx
419,1113,28,2012_35_Bronx
366,1203,40,2012_36_Bronx
436,1363,37,2012_37_Bronx
388,1420,40,2012_38_Bronx
349,1122,45,2012_39_Bronx
468,1294,37,2012_40_Bronx
385,1421,41,2012_41_Bronx
395,1339,38,2012_42_Bronx
443,1186,28,2012_43_Bronx
216,570,7,2012_44_Bronx
289,968,28,2012_45_Bronx
324,1151,40,2012_46_Bronx
306,908,24,2012_47_Bronx
358,1206,23,2012_48_Bronx
410,1323,53,2012_49_Bronx
426,1248,27,2012_50_Bronx
346,1123,21,2012_51_Bronx
237,877,17,2012_52_Bronx
396,1233,31,2013_1_Bronx
470,1296,63,2013_2_Bronx
433,1169,35,2013_3_Bronx
413,1114,27,2013_4_Bronx
393,1181,31,2013_5_Bronx
351,1176,47,2013_6_Bronx
408,1321,36,2013_7_Bronx
431,1334,34,2013_8_Bronx
376,1396,52,2013_9_Bronx
373,1281,34,2013_10_Bronx
421,1233,36,2013_11_Bronx
401,1316,38,2013_12_Bronx
306,1121,22,2013_13_Bronx
379,1241,41,2013_14_Bronx
445,1412,34,2013_15_Bronx
386,1328,25,2013_16_Bronx
386,1298,32,2013_17_Bronx
418,1236,31,2013_18_Bronx
398,1302,23,2013_19_Bronx
401,1323,28,2013_20_Bronx
420,1157,26,2013_21_Bronx
318,1187,33,2013_22_Bronx
425,1270,41,2013_23_Bronx
383,1259,35,2013_24_Bronx
427,1238,41,2013_25_Bronx
391,1098,36,2013_26_Bronx
360,1141,50,2013_27_Bronx
397,1268,32,2013_28_Bronx
417,1213,31,2013_29_Bronx
414,1233,38,2013_30_Bronx
394,1234,51,2013_31_Bronx
409,1231,37,2013_32_Bronx
398,1281,32,2013_33_Bronx
353,1251,32,2013_34_Bronx
405,1070,30,2013_35_Bronx
364,1296,43,2013_36_Bronx
339,1160,31,2013_37_Bronx
387,1255,42,2013_38_Bronx
356,1279,39,2013_39_Bronx
446,1316,37,2013_40_Bronx
455,1300,34,2013_41_Bronx
394,1158,33,2013_42_Bronx
422,1209,37,2013_43_Bronx
386,1049,25,2013_44_Bronx
408,1298,44,2013_45_Bronx
455,1241,32,2013_46_Bronx
414,1220,39,2013_47_Bronx
266,973,29,2013_48_Bronx
420,1216,20,2013_49_Bronx
384,999,28,2013_50_Bronx
303,1019,31,2013_51_Bronx
251,933,21,2013_52_Bronx
332,911,32,2014_1_Bronx
398,1217,61,2014_2_Bronx
458,1416,50,2014_3_Bronx
343,1179,47,2014_4_Bronx
391,1157,29,2014_5_Bronx
373,1268,54,2014_6_Bronx
349,1203,46,2014_7_Bronx
355,1362,47,2014_8_Bronx
402,1216,33,2014_9_Bronx
447,1389,42,2014_10_Bronx
374,1432,65,2014_11_Bronx
417,1428,57,2014_12_Bronx
362,1195,44,2014_13_Bronx
477,1329,49,2014_14_Bronx
420,1304,56,2014_15_Bronx
382,1319,52,2014_16_Bronx
381,1295,71,2014_17_Bronx
372,1165,49,2014_18_Bronx
424,1392,69,2014_19_Bronx
436,1282,68,2014_20_Bronx
408,1286,52,2014_21_Bronx
416,1114,67,2014_22_Bronx
479,1246,65,2014_23_Bronx
460,1238,62,2014_24_Bronx
422,1187,72,2014_25_Bronx
360,1098,55,2014_26_Bronx
430,1161,58,2014_27_Bronx
430,1224,68,2014_28_Bronx
473,1179,74,2014_29_Bronx
445,1180,60,2014_30_Bronx
413,1189,81,2014_31_Bronx
396,1235,89,2014_32_Bronx
473,1346,68,2014_33_Bronx
443,1276,66,2014_34_Bronx
395,1138,43,2014_35_Bronx
463,1230,44,2014_36_Bronx
395,1223,54,2014_37_Bronx
392,1421,55,2014_38_Bronx
352,1108,40,2014_39_Bronx
449,1234,43,2014_40_Bronx
399,1260,63,2014_41_Bronx
480,1382,38,2014_42_Bronx
409,1212,52,2014_43_Bronx
382,1003,65,2014_44_Bronx
469,1212,54,2014_45_Bronx
440,1188,51,2014_46_Bronx
406,1174,44,2014_47_Bronx
309,818,35,2014_48_Bronx
320,875,33,2014_49_Bronx
281,852,48,2014_50_Bronx
339,882,35,2014_51_Bronx
166,273,3,2014_52_Bronx
148,248,1,2015_1_Bronx
328,855,23,2015_2_Bronx
432,1124,40,2015_3_Bronx
358,1131,47,2015_4_Bronx
328,878,37,2015_5_Bronx
396,1001,70,2015_6_Bronx
435,1056,82,2015_7_Bronx
351,1074,55,2015_8_Bronx
377,1064,66,2015_9_Bronx
424,1006,61,2015_10_Bronx
373,1176,71,2015_11_Bronx
346,1077,56,2015_12_Bronx
365,1034,57,2015_13_Bronx
307,997,45,2015_14_Bronx
364,1007,51,2015_15_Bronx
378,1060,85,2015_16_Bronx
333,1107,64,2015_17_Bronx
311,939,57,2015_18_Bronx
326,956,58,2015_19_Bronx
383,1087,37,2015_20_Bronx
398,1006,42,2015_21_Bronx
345,981,49,2015_22_Bronx
343,1144,39,2015_23_Bronx
374,1032,54,2015_24_Bronx
365,1074,43,2015_25_Bronx
371,1021,37,2015_26_Bronx
364,1038,48,2015_27_Bronx
397,1094,48,2015_28_Bronx
376,1081,44,2015_29_Bronx
418,1146,57,2015_30_Bronx
372,934,40,2015_31_Bronx
400,1236,73,2015_32_Bronx
436,1146,58,2015_33_Bronx
399,1147,60,2015_34_Bronx
382,1120,62,2015_35_Bronx
400,1143,63,2015_36_Bronx
390,1084,48,2015_37_Bronx
431,1165,55,2015_38_Bronx
369,1028,49,2015_39_Bronx
389,997,56,2015_40_Bronx
431,1057,49,2015_41_Bronx
397,1134,71,2015_42_Bronx
364,1030,60,2015_43_Bronx
344,815,34,2015_44_Bronx
507,1007,57,2015_45_Bronx
411,946,45,2015_46_Bronx
391,1025,43,2015_47_Bronx
311,786,37,2015_48_Bronx
394,878,59,2015_49_Bronx
364,904,45,2015_50_Bronx
455,836,52,2015_51_Bronx
206,595,27,2015_52_Bronx
169,373,16,2015_53_Bronx
465,949,59,2016_1_Bronx
391,1061,52,2016_2_Bronx
335,851,45,2016_3_Bronx
451,952,65,2016_4_Bronx
446,1017,62,2016_5_Bronx
392,901,65,2016_6_Bronx
414,981,44,2016_7_Bronx
355,870,46,2016_8_Bronx
396,1015,25,2016_9_Bronx
504,1006,2,2016_10_Bronx
408,910,3,2016_11_Bronx
347,786,1,2016_12_Bronx
379,837,1,2016_13_Bronx
403,996,3,2016_14_Bronx
414,1011,3,2016_15_Bronx
363,973,1,2016_16_Bronx
426,925,2,2016_17_Bronx
424,984,7,2016_18_Bronx
458,1041,4,2016_19_Bronx
421,1009,3,2016_20_Bronx
418,962,4,2016_21_Bronx
449,941,7,2016_22_Bronx
373,944,4,2016_23_Bronx
369,995,0,2016_24_Bronx
372,887,4,2016_25_Bronx
438,872,6,2016_26_Bronx
414,866,7,2016_27_Bronx
370,913,2,2016_28_Bronx
450,866,5,2016_29_Bronx
380,865,2,2016_30_Bronx
421,934,2,2016_31_Bronx
420,965,2,2016_32_Bronx
401,946,1,2016_33_Bronx
380,979,1,2016_34_Bronx
437,879,2,2016_35_Bronx
339,899,0,2016_36_Bronx
385,955,1,2016_37_Bronx
353,827,2,2016_38_Bronx
363,845,2,2016_39_Bronx
453,1031,1,2016_40_Bronx
387,990,2,2016_41_Bronx
411,987,1,2016_42_Bronx
365,881,2,2016_43_Bronx
380,868,2,2016_44_Bronx
331,756,0,2016_45_Bronx
382,916,1,2016_46_Bronx
268,752,2,2016_47_Bronx
373,856,3,2016_48_Bronx
432,970,2,2016_49_Bronx
343,833,0,2016_50_Bronx
252,677,5,2016_51_Bronx
234,593,5,2016_52_Bronx
117,334,5,2016_53_Bronx
347,839,2,2017_1_Bronx
375,981,1,2017_2_Bronx
407,1030,2,2017_3_Bronx
411,963,1,2017_4_Bronx
413,916,1,2017_5_Bronx
379,877,2,2017_6_Bronx
472,944,0,2017_7_Bronx
342,845,0,2017_8_Bronx
360,904,1,2017_9_Bronx
414,1016,5,2017_10_Bronx
292,708,1,2017_11_Bronx
344,871,4,2017_12_Bronx
343,788,2,2017_13_Bronx
401,806,4,2017_14_Bronx
418,877,4,2017_15_Bronx
385,932,1,2017_16_Bronx
373,834,1,2017_17_Bronx
418,881,6,2017_18_Bronx
361,828,3,2017_19_Bronx
361,826,1,2017_20_Bronx
378,780,2,2017_21_Bronx
334,805,1,2017_22_Bronx
394,846,1,2017_23_Bronx
387,815,2,2017_24_Bronx
369,833,5,2017_25_Bronx
315,789,0,2017_26_Bronx
319,718,4,2017_27_Bronx
335,761,0,2017_28_Bronx
367,785,4,2017_29_Bronx
385,803,2,2017_30_Bronx
394,786,1,2017_31_Bronx
384,859,2,2017_32_Bronx
422,814,1,2017_33_Bronx
330,827,3,2017_34_Bronx
354,702,5,2017_35_Bronx
376,842,0,2017_36_Bronx
380,840,2,2017_37_Bronx
353,846,4,2017_38_Bronx
381,826,3,2017_39_Bronx
446,931,3,2017_40_Bronx
409,863,1,2017_41_Bronx
425,864,1,2017_42_Bronx
397,840,0,2017_43_Bronx
369,802,0,2017_44_Bronx
317,867,0,2017_45_Bronx
388,934,2,2017_46_Bronx
275,667,2,2017_47_Bronx
332,806,3,2017_48_Bronx
311,777,1,2017_49_Bronx
365,739,1,2017_50_Bronx
278,628,6,2017_51_Bronx
228,594,3,2017_52_Bronx
251,684,1,2018_1_Bronx
381,864,1,2018_2_Bronx
369,898,3,2018_3_Bronx
369,913,4,2018_4_Bronx
334,765,1,2018_5_Bronx
369,824,3,2018_6_Bronx
369,850,3,2018_7_Bronx
327,875,3,2018_8_Bronx
333,769,1,2018_9_Bronx
312,773,1,2018_10_Bronx
371,799,3,2018_11_Bronx
307,746,1,2018_12_Bronx
307,727,0,2018_13_Bronx
313,748,14,2018_14_Bronx
396,788,1,2018_15_Bronx
303,741,8,2018_16_Bronx
303,714,7,2018_17_Bronx
363,801,6,2018_18_Bronx
332,764,2,2018_19_Bronx
324,718,2,2018_20_Bronx
356,736,5,2018_21_Bronx
316,712,7,2018_22_Bronx
347,639,0,2018_23_Bronx
336,716,7,2018_24_Bronx
317,688,6,2018_25_Bronx
342,634,9,2018_26_Bronx
288,700,11,2018_27_Bronx
363,759,2,2018_28_Bronx
341,776,4,2018_29_Bronx
347,756,4,2018_30_Bronx
351,736,3,2018_31_Bronx
409,820,7,2018_32_Bronx
381,798,6,2018_33_Bronx
329,713,1,2018_34_Bronx
318,726,13,2018_35_Bronx
334,683,4,2018_36_Bronx
336,657,2,2018_37_Bronx
326,730,2,2018_38_Bronx
291,617,5,2018_39_Bronx
319,671,1,2018_40_Bronx
317,706,1,2018_41_Bronx
329,670,1,2018_42_Bronx
336,651,0,2018_43_Bronx
357,615,2,2018_44_Bronx
328,635,4,2018_45_Bronx
279,607,4,2018_46_Bronx
235,552,0,2018_47_Bronx
383,629,1,2018_48_Bronx
373,720,3,2018_49_Bronx
315,631,3,2018_50_Bronx
292,627,2,2018_51_Bronx
245,491,3,2018_52_Bronx
546,1524,199,2012_1_Brooklyn
530,1370,232,2012_26_Brooklyn
582,1342,226,2012_27_Brooklyn
615,1448,248,2012_28_Brooklyn
618,1431,189,2012_29_Brooklyn
652,1371,213,2012_30_Brooklyn
613,1435,297,2012_31_Brooklyn
623,1441,256,2012_32_Brooklyn
631,1482,255,2012_33_Brooklyn
604,1485,277,2012_34_Brooklyn
534,1296,212,2012_35_Brooklyn
561,1343,209,2012_36_Brooklyn
592,1348,229,2012_37_Brooklyn
507,1347,229,2012_38_Brooklyn
509,1247,195,2012_39_Brooklyn
621,1527,210,2012_40_Brooklyn
652,1500,205,2012_41_Brooklyn
604,1510,223,2012_42_Brooklyn
573,1260,205,2012_43_Brooklyn
265,491,39,2012_44_Brooklyn
355,756,74,2012_45_Brooklyn
504,1028,133,2012_46_Brooklyn
389,901,85,2012_47_Brooklyn
500,1090,129,2012_48_Brooklyn
574,1205,154,2012_49_Brooklyn
449,1276,176,2012_50_Brooklyn
487,1107,127,2012_51_Brooklyn
437,921,103,2012_52_Brooklyn
558,1323,140,2013_1_Brooklyn
571,1437,202,2013_2_Brooklyn
601,1347,198,2013_3_Brooklyn
532,1265,121,2013_4_Brooklyn
549,1447,173,2013_5_Brooklyn
539,1158,160,2013_6_Brooklyn
549,1488,212,2013_7_Brooklyn
558,1462,204,2013_8_Brooklyn
681,1556,231,2013_9_Brooklyn
625,1391,237,2013_10_Brooklyn
523,1395,214,2013_11_Brooklyn
530,1396,167,2013_12_Brooklyn
542,1282,183,2013_13_Brooklyn
531,1403,248,2013_14_Brooklyn
602,1441,282,2013_15_Brooklyn
642,1603,265,2013_16_Brooklyn
589,1537,233,2013_17_Brooklyn
601,1492,234,2013_18_Brooklyn
622,1454,250,2013_19_Brooklyn
654,1390,233,2013_20_Brooklyn
588,1425,212,2013_21_Brooklyn
543,1285,229,2013_22_Brooklyn
607,1283,203,2013_23_Brooklyn
535,1320,220,2013_24_Brooklyn
578,1324,236,2013_25_Brooklyn
593,1206,209,2013_26_Brooklyn
552,1265,229,2013_27_Brooklyn
668,1245,216,2013_28_Brooklyn
647,1222,253,2013_29_Brooklyn
591,1350,231,2013_30_Brooklyn
601,1396,240,2013_31_Brooklyn
585,1339,285,2013_32_Brooklyn
594,1383,266,2013_33_Brooklyn
557,1249,231,2013_34_Brooklyn
555,1150,230,2013_35_Brooklyn
563,1234,224,2013_36_Brooklyn
520,1214,211,2013_37_Brooklyn
630,1303,215,2013_38_Brooklyn
545,1257,204,2013_39_Brooklyn
623,1360,274,2013_40_Brooklyn
644,1308,231,2013_41_Brooklyn
498,1157,193,2013_42_Brooklyn
603,1275,180,2013_43_Brooklyn
518,1265,178,2013_44_Brooklyn
567,1298,184,2013_45_Brooklyn
601,1309,174,2013_46_Brooklyn
574,1295,186,2013_47_Brooklyn
387,1006,103,2013_48_Brooklyn
534,1266,167,2013_49_Brooklyn
471,1166,131,2013_50_Brooklyn
507,1154,158,2013_51_Brooklyn
338,928,98,2013_52_Brooklyn
360,858,101,2014_1_Brooklyn
589,1284,183,2014_2_Brooklyn
588,1386,197,2014_3_Brooklyn
485,1160,139,2014_4_Brooklyn
514,1274,161,2014_5_Brooklyn
531,1377,169,2014_6_Brooklyn
518,1278,147,2014_7_Brooklyn
545,1513,189,2014_8_Brooklyn
525,1389,179,2014_9_Brooklyn
603,1503,223,2014_10_Brooklyn
605,1495,250,2014_11_Brooklyn
608,1572,222,2014_12_Brooklyn
620,1350,159,2014_13_Brooklyn
648,1471,246,2014_14_Brooklyn
614,1607,229,2014_15_Brooklyn
487,1292,209,2014_16_Brooklyn
589,1425,206,2014_17_Brooklyn
537,1245,202,2014_18_Brooklyn
630,1470,244,2014_19_Brooklyn
585,1463,276,2014_20_Brooklyn
632,1302,238,2014_21_Brooklyn
538,1291,218,2014_22_Brooklyn
584,1387,232,2014_23_Brooklyn
567,1347,277,2014_24_Brooklyn
618,1333,255,2014_25_Brooklyn
568,1291,239,2014_26_Brooklyn
554,1276,290,2014_27_Brooklyn
663,1256,265,2014_28_Brooklyn
663,1369,260,2014_29_Brooklyn
580,1365,241,2014_30_Brooklyn
588,1332,266,2014_31_Brooklyn
575,1409,287,2014_32_Brooklyn
657,1340,245,2014_33_Brooklyn
639,1361,205,2014_34_Brooklyn
544,1174,233,2014_35_Brooklyn
572,1279,223,2014_36_Brooklyn
598,1325,229,2014_37_Brooklyn
621,1338,246,2014_38_Brooklyn
506,1195,207,2014_39_Brooklyn
541,1354,200,2014_40_Brooklyn
588,1449,233,2014_41_Brooklyn
636,1415,188,2014_42_Brooklyn
542,1227,159,2014_43_Brooklyn
517,1071,148,2014_44_Brooklyn
586,1171,179,2014_45_Brooklyn
578,1239,162,2014_46_Brooklyn
566,1165,134,2014_47_Brooklyn
403,818,113,2014_48_Brooklyn
468,915,89,2014_49_Brooklyn
421,904,137,2014_50_Brooklyn
514,819,86,2014_51_Brooklyn
165,272,7,2014_52_Brooklyn
196,176,10,2015_1_Brooklyn
449,647,58,2015_2_Brooklyn
571,1017,148,2015_3_Brooklyn
627,1182,147,2015_4_Brooklyn
429,978,109,2015_5_Brooklyn
556,1144,150,2015_6_Brooklyn
500,1132,178,2015_7_Brooklyn
500,1090,147,2015_8_Brooklyn
545,1125,167,2015_9_Brooklyn
478,1179,127,2015_10_Brooklyn
549,1329,195,2015_11_Brooklyn
522,1166,186,2015_12_Brooklyn
545,1123,179,2015_13_Brooklyn
559,1150,164,2015_14_Brooklyn
513,1169,168,2015_15_Brooklyn
561,1219,249,2015_16_Brooklyn
554,1244,174,2015_17_Brooklyn
571,1080,171,2015_18_Brooklyn
507,1124,209,2015_19_Brooklyn
595,1263,202,2015_20_Brooklyn
544,1098,188,2015_21_Brooklyn
551,992,188,2015_22_Brooklyn
551,1206,194,2015_23_Brooklyn
519,1168,190,2015_24_Brooklyn
551,1118,175,2015_25_Brooklyn
573,1119,151,2015_26_Brooklyn
524,1081,185,2015_27_Brooklyn
503,1046,195,2015_28_Brooklyn
525,1141,184,2015_29_Brooklyn
625,1207,196,2015_30_Brooklyn
626,1131,196,2015_31_Brooklyn
616,1237,230,2015_32_Brooklyn
635,1175,227,2015_33_Brooklyn
572,1173,191,2015_34_Brooklyn
544,1159,173,2015_35_Brooklyn
502,1099,213,2015_36_Brooklyn
544,1046,137,2015_37_Brooklyn
526,1089,207,2015_38_Brooklyn
481,1053,170,2015_39_Brooklyn
456,996,139,2015_40_Brooklyn
636,1183,170,2015_41_Brooklyn
583,1087,159,2015_42_Brooklyn
587,1072,140,2015_43_Brooklyn
482,768,94,2015_44_Brooklyn
548,1011,141,2015_45_Brooklyn
548,989,130,2015_46_Brooklyn
570,1101,131,2015_47_Brooklyn
402,831,85,2015_48_Brooklyn
593,1099,118,2015_49_Brooklyn
545,1108,133,2015_50_Brooklyn
503,931,72,2015_51_Brooklyn
259,655,70,2015_52_Brooklyn
224,411,38,2015_53_Brooklyn
530,1049,111,2016_1_Brooklyn
599,1138,128,2016_2_Brooklyn
456,924,83,2016_3_Brooklyn
550,1062,128,2016_4_Brooklyn
554,1163,166,2016_5_Brooklyn
537,1072,141,2016_6_Brooklyn
596,1042,134,2016_7_Brooklyn
573,1113,140,2016_8_Brooklyn
608,1158,108,2016_9_Brooklyn
614,1285,124,2016_10_Brooklyn
530,1025,96,2016_11_Brooklyn
610,1084,81,2016_12_Brooklyn
532,1065,68,2016_13_Brooklyn
554,1053,83,2016_14_Brooklyn
687,1118,92,2016_15_Brooklyn
542,1086,100,2016_16_Brooklyn
548,1003,95,2016_17_Brooklyn
545,1110,71,2016_18_Brooklyn
647,1161,120,2016_19_Brooklyn
548,1046,120,2016_20_Brooklyn
540,932,132,2016_21_Brooklyn
572,1004,119,2016_22_Brooklyn
550,1016,116,2016_23_Brooklyn
515,992,132,2016_24_Brooklyn
561,966,113,2016_25_Brooklyn
542,943,101,2016_26_Brooklyn
463,849,99,2016_27_Brooklyn
488,828,100,2016_28_Brooklyn
549,871,102,2016_29_Brooklyn
527,875,90,2016_30_Brooklyn
521,1016,130,2016_31_Brooklyn
559,989,133,2016_32_Brooklyn
576,967,102,2016_33_Brooklyn
670,1062,129,2016_34_Brooklyn
631,952,128,2016_35_Brooklyn
517,926,98,2016_36_Brooklyn
541,1011,86,2016_37_Brooklyn
518,973,109,2016_38_Brooklyn
505,949,96,2016_39_Brooklyn
562,1017,89,2016_40_Brooklyn
593,1074,112,2016_41_Brooklyn
575,1073,104,2016_42_Brooklyn
542,982,81,2016_43_Brooklyn
586,1087,99,2016_44_Brooklyn
478,839,82,2016_45_Brooklyn
484,1060,85,2016_46_Brooklyn
415,835,58,2016_47_Brooklyn
513,927,91,2016_48_Brooklyn
535,1022,67,2016_49_Brooklyn
555,892,58,2016_50_Brooklyn
622,657,61,2016_51_Brooklyn
406,715,53,2016_52_Brooklyn
213,344,37,2016_53_Brooklyn
513,936,54,2017_1_Brooklyn
612,1049,61,2017_2_Brooklyn
580,1101,89,2017_3_Brooklyn
556,1045,74,2017_4_Brooklyn
536,979,59,2017_5_Brooklyn
530,1057,76,2017_6_Brooklyn
519,1030,73,2017_7_Brooklyn
424,921,92,2017_8_Brooklyn
549,1079,66,2017_9_Brooklyn
598,1171,72,2017_10_Brooklyn
426,813,61,2017_11_Brooklyn
610,986,71,2017_12_Brooklyn
494,1000,99,2017_13_Brooklyn
571,1038,104,2017_14_Brooklyn
528,975,87,2017_15_Brooklyn
545,1034,82,2017_16_Brooklyn
500,955,88,2017_17_Brooklyn
